CPI growth,Change in Unemployment Rate,GDP growth,year,month
0.0024405125076265577,0.7999999999999998,-0.008639256798409156,1999,1
0.0012172854534386879,-0.09999999999999964,0.008663813983287305,1999,2
0.003039513677811634,-0.2999999999999998,0.01628407956743083,1999,3
0.0072727272727270975,-0.3000000000000007,0.016060779087524235,1999,4
0.0,-0.09999999999999964,0.006101502499340272,1999,5
0.0,0.5,0.0021382006527661535,1999,6
0.0030084235860408093,0.0,0.0064427303180181195,1999,7
0.002399520095980767,-0.2999999999999998,0.016338803599732055,1999,8
0.004787552363854086,-0.10000000000000053,0.01754943934523534,1999,9
0.0017867778439546456,-0.2999999999999998,0.007321784728243408,1999,10
0.0005945303210466157,0.0,-0.008782087044924225,1999,11
0.0,-0.09999999999999964,-0.014609586481345582,1999,12
0.002970885323826611,0.7999999999999998,-0.006974593783844241,2000,1
0.005924170616113722,-0.09999999999999964,0.01167969870565777,2000,2
0.008244994110718329,-0.10000000000000053,0.019651303236940088,2000,3
0.0005841121495329116,-0.5999999999999996,0.017055665778562545,2000,4
0.0011675423234092097,0.09999999999999964,0.0041053586899204575,2000,5
0.005247813411078717,0.2999999999999998,-0.0021332966453616597,2000,6
0.002320185614849146,0.10000000000000053,0.001404939259437521,2000,7
0.0,-0.10000000000000053,0.01146785011721363,2000,8
0.005208333333333259,-0.2999999999999998,0.013658593141804065,2000,9
0.0017271157167531026,-0.19999999999999973,0.0047410417006354955,2000,10
0.0005747126436781436,0.10000000000000009,-0.010323567240025922,2000,11
-0.0005743825387707346,0.0,-0.01591896726320763,2000,12
0.006321839080459801,1.0,-0.009238314769016487,2001,1
0.003997715591090856,-0.10000000000000053,0.007819581258351471,2001,2
0.0022753128555175195,-0.09999999999999964,0.014933969340964914,2001,3
0.0039727582292850006,-0.2999999999999998,0.013473028150553734,2001,4
0.0045223289994347216,-0.10000000000000053,0.0021300446627781078,2001,5
0.0016882386043894915,0.6000000000000005,-0.0035451346204881107,2001,6
-0.002808988764044895,0.0,-0.0004757115856144356,2001,7
0.0,0.20000000000000018,0.008363139733285507,2001,8
0.004507042253521165,-0.20000000000000018,0.010690779082348723,2001,9
-0.0033651149747617737,0.2999999999999998,0.003550185002756834,2001,10
-0.0016882386043892694,0.2999999999999998,-0.008949758627133098,2001,11
-0.003945885005637084,0.10000000000000053,-0.013453493529135607,2001,12
0.002263723825693287,0.8999999999999995,-0.007608095860839548,2002,1
0.0039525691699606735,-0.20000000000000018,0.007006979360941079,2002,2
0.0056242969628796935,0.0,0.013543673321704697,2002,3
0.005592841163311046,-0.39999999999999947,0.013555355810531244,2002,4
0.0,-0.20000000000000018,0.005297443545048797,2002,5
0.0005561735261401246,0.5,0.0015052471042757976,2002,6
0.0011117287381878782,-0.09999999999999964,0.004044493399505633,2002,7
0.003331482509716821,-0.20000000000000018,0.010910701892696606,2002,8
0.0016602102933038765,-0.2999999999999998,0.011583660143424712,2002,9
0.0016574585635360517,-0.10000000000000053,0.0039033432225361597,2002,10
0.0,0.2999999999999998,-0.008320912020064353,2002,11
-0.0022062879205736463,0.10000000000000053,-0.01289622015807379,2002,12
0.004422332780541716,0.7999999999999998,-0.007711730053477139,2003,1
0.007705008255366019,-0.09999999999999964,0.0058634037657212534,2003,2
0.006007646095030017,-0.20000000000000018,0.012417819964395171,2003,3
-0.0021715526601518986,-0.40000000000000036,0.013356898720696453,2003,4
-0.0016322089227421843,0.0,0.006922196103614775,2003,5
0.0010899182561308063,0.7000000000000002,0.0046709342029767065,2003,6
0.0010887316276537717,-0.20000000000000018,0.007881604336397396,2003,7
0.0038064165307232223,-0.2999999999999998,0.014961619031754303,2003,8
0.003250270855904569,-0.20000000000000018,0.015193298809722533,2003,9
-0.001079913606911398,-0.20000000000000018,0.006650733643422058,2003,10
-0.002702702702702675,0.0,-0.006328903030122124,2003,11
-0.0010840108401083404,-0.1999999999999993,-0.011306039277283242,2003,12
0.004883342376559741,0.8999999999999995,-0.005848517207646231,2004,1
0.005399568034557323,-0.2999999999999998,0.008186133029132847,2004,2
0.0064446831364124435,0.0,0.014657461527651572,2004,3
0.0032017075773744796,-0.5999999999999996,0.01357884407387866,2004,4
0.005851063829787284,-0.10000000000000053,0.004907195521724139,2004,5
0.0031729243786355887,0.5,0.0016239597211999968,2004,6
-0.001581444385872377,-0.09999999999999964,0.005724645896061364,2004,7
0.000527983104540608,-0.2999999999999998,0.014843964732469184,2004,8
0.0021108179419524475,-0.3000000000000007,0.016345971216504385,2004,9
0.00526592943654558,0.0,0.00768902306250574,2004,10
0.0005238344683080598,0.10000000000000053,-0.006255738839530456,2004,11
-0.003664921465968529,-0.10000000000000053,-0.011970948329371844,2004,12
0.0021019442984759884,0.6000000000000005,-0.006792520968508464,2005,1
0.0057682223387520715,0.09999999999999964,0.0075964633540634985,2005,2
0.007820646506777829,-0.39999999999999947,0.014592541788518876,2005,3
0.0067252974650799935,-0.5,0.016140984073671483,2005,4
-0.0010277492291880241,0.0,0.009587731417520562,2005,5
0.0005144032921811093,0.2999999999999998,0.006261044483799161,2005,6
0.004627249357326502,0.0,0.006999283390667355,2005,7
0.0051177072671442225,-0.2999999999999998,0.010938917698784856,2005,8
0.012219959266802416,-0.10000000000000053,0.010280207278356768,2005,9
0.002012072434607548,-0.20000000000000018,0.0036672316338062227,2005,10
-0.008032128514056214,0.20000000000000018,-0.005837868049465844,2005,11
-0.004048582995951344,-0.20000000000000018,-0.008470855068456573,2005,12
0.007621951219512146,0.5,-0.002325953260687852,2006,1
0.0020171457387794245,0.0,0.010543315179843527,2006,2
