Technology_XLK,Healthcare_XLV,Financials_XLF,Energy_XLE,Materials_XLB,ConsumerDiscretionary_XLY,Industrials_XLI,Utilities_XLU,ConsumerStaples_XLP
0.06916986096667427,0.13214881184847932,5.312590645178972e-18,0.15953038318845864,0.00461446118543705,0.034536482810950675,3.686287386450715e-18,0.3,0.3
0.3,0.3,0.0,0.0,0.0,0.3,0.09999999999993396,0.0,0.0
0.29999999999999477,0.16774081668348123,9.788230977092645e-15,2.056788995777476e-15,4.315992008230296e-15,0.2999999999999926,0.23225918331651443,2.973975810091942e-16,6.315312790869653e-16
0.299999999999991,0.29999999999991,7.600722210356462e-15,3.4684869912834004e-15,1.5789489841500522e-14,0.29999999999999083,0.10000000000007984,5.984986203859999e-16,8.484125013671491e-16
0.2999999999999257,0.29999999999744353,1.7713727730268663e-13,4.098699482165685e-14,1.5226720774804968e-12,0.29999999999972166,0.10000000000112962,2.0425024287964858e-14,1.8270119249230813e-14
0.3,0.3,0.0,0.0,0.0,0.3,0.10000000000000067,0.0,0.0
0.2999999999999994,0.2999999999999992,0.0,1.3135855836262198e-16,0.0,0.3,0.10000000000000155,5.105134393652586e-16,1.5825506105604855e-16
0.3,0.3,0.0,0.0,0.0,0.3,0.10000000000000125,0.0,0.0
0.3,0.3,0.0,0.0,0.0,0.3,0.0999999999999922,0.0,0.0
0.2999999999999962,0.29999999999999283,8.493206138382448e-15,1.3985298603982642e-15,5.524257042017955e-15,0.2999999999999946,0.09999999999999809,1.0438026160864244e-15,1.7577653459475537e-15
0.3,0.3,0.0,0.0,0.0,0.3,0.10000000000001863,0.0,0.0
0.29999999999999855,0.2999999999999964,2.227396636213173e-15,1.1933375696799274e-15,2.8959715960579375e-15,0.29999999999999816,0.09999999999999958,3.041036930990146e-16,6.213060740034906e-16
0.29999999999999843,0.29999999999998594,6.647061397080845e-15,2.3636424014693432e-15,6.8502285942798074e-15,0.29999999999999255,0.10000000000000443,1.425184938191174e-15,1.4106864863028731e-15
0.2999999999999978,0.3,0.0,6.958650880379439e-16,1.2562976801945108e-16,0.2999999999999993,0.10000000000000019,0.0,4.2407091808314594e-16
0.2999999999999966,0.2999999999999718,1.703391950488685e-14,1.5572062530507797e-15,3.6788825063517746e-15,0.29999999999999355,0.1000000000000126,1.4812131851603925e-15,1.6596211708679077e-15
0.2999999999999988,0.2999999999999981,2.3397791900957737e-15,2.316589046707392e-16,1.5010676979961747e-16,0.29999999999999777,0.10000000000000095,7.951693674306655e-16,9.257989806616164e-16
0.29999999999999977,0.2999999999999991,4.986456319719739e-16,7.48503407561569e-16,1.2180674645252721e-16,0.29999999999999954,0.10000000000000042,0.0,4.94231913934258e-17
0.3,0.3,2.484000287636399e-16,0.0,0.0,0.3,0.09999999999999866,0.0,0.0
0.2999999999999993,0.3,4.889490106893263e-16,3.3906427624148045e-16,6.513050376445864e-16,0.3,0.09999999999999819,3.773823101854531e-16,5.134272885425927e-16
0.3,0.29999999999999916,3.952990728613565e-16,0.0,6.970180690802931e-16,0.29999999999999993,0.1000000000000002,0.0,0.0
0.29999999999999966,0.29999999999999916,5.336209712254117e-16,9.746694199159292e-17,0.0,0.3,0.10000000000000098,0.0,0.0
0.3,0.29999999999999943,2.4636027111191574e-16,0.0,0.0,0.2999999999999999,0.10000000000000334,0.0,0.0
0.2999999999999997,0.3,5.939323775016394e-16,1.3847078482380958e-16,0.0,0.2999999999999996,0.10000000000000137,1.2910059566072937e-16,1.3141702076443732e-16
0.3,0.3,0.0,0.0,0.0,0.3,0.09999999999999717,0.0,0.0
0.2999999999999992,0.2999999999999903,1.6651956091999542e-15,6.418915723529455e-16,8.062902459244855e-15,0.29999999999999877,0.1,6.120617835333664e-16,6.064599146692022e-16
0.3,0.3,0.0,0.0,0.0,0.3,0.09999999999999779,0.0,0.0
0.3,3.952591471989045e-17,7.232058493612046e-17,3.7392036191311145e-17,0.0999999999999994,0.3,0.3,0.0,0.0
0.29999999999999977,0.0,0.0,0.0,0.19608523286349452,0.2999999999999996,0.20391476713650608,8.519562959041748e-17,1.0178496438521158e-16
0.3,0.0,0.0,0.0,0.3,0.3,0.10000000000000014,0.0,0.0
0.3,0.0,0.0,0.0,0.3,0.3,0.10000000000000023,0.0,0.0
0.3,3.7929899074112496e-16,4.12629887334813e-16,2.6521610695988105e-17,0.2999999999999992,0.29999999999999993,0.09999999999999984,0.0,1.5541989575585624e-17
0.3,1.9548367009223668e-16,0.0,0.0,0.2999999999999994,0.2999999999999998,0.10000000000000125,6.740529646789502e-17,0.0
0.299999999999999,5.577989402271748e-16,1.89080432520655e-16,9.070968728102245e-16,0.3,0.29999999999999893,0.09999999999999912,8.164062878022459e-16,2.056596887545851e-16
0.2999999999999998,8.109638050950348e-16,0.0,6.909997131282031e-16,0.2999999999999993,0.2999999999999994,0.09999999999999959,2.392476798178479e-16,1.9463866825113502e-16
0.3,0.0,8.682000628426036e-16,6.120033255133291e-16,0.2999999999999984,0.29999999999999954,0.10000000000000114,0.0,0.0
0.2999999999999988,9.270337168578054e-16,4.413136522884997e-15,9.054585859009235e-16,0.29999999999999466,0.2999999999999986,0.09999999999999881,1.919104908445544e-15,1.0051547815919932e-15
0.3,2.558676770306885e-16,0.042463038222512864,0.0,0.3,0.3,0.057536961777486406,0.0,6.610785258550931e-17
0.29999999999999927,0.0,0.09999999999999949,3.1543144258829552e-15,0.2999999999999972,0.29999999999999905,9.059593353288875e-16,1.3029285945595193e-15,0.0
0.3,0.0,0.06744997206225811,0.0,0.3,0.3,0.03255002793773118,0.0,0.0
