Technology_XLK,Healthcare_XLV,Financials_XLF,Energy_XLE,Materials_XLB,ConsumerDiscretionary_XLY,Industrials_XLI,Utilities_XLU,ConsumerStaples_XLP
0.11166672308874101,0.09689237506988656,0.0,0.19144090184137227,5.421010862427522e-18,0.0,5.0090140368830305e-17,0.3,0.3
0.11050230668109008,0.094442190060871,1.9081958235744878e-17,0.195055503258039,0.0,0.0,0.0,0.3,0.3
0.3,0.0,0.0,0.0,0.3,0.10000000000002796,0.3,0.0,0.0
0.3,0.0,0.0,0.0,0.3,0.09999999999961552,0.3,0.0,0.0
0.0,0.0,0.3,0.0999999999998978,0.3,0.0,0.3,0.0,0.0
0.3,0.3,0.0,0.0,0.0,0.3,0.09999999999949738,0.0,0.0
0.3,0.3,0.0,0.0,0.0,0.3,0.09999999999995618,0.0,0.0
0.3,0.3,0.0,0.0,0.0,0.3,0.10000000001558867,0.0,0.0
0.29999999714073416,0.29999998040888254,6.556464533097328e-08,6.706140092073966e-11,2.8125201972531e-10,0.29999999988124665,0.09999995659670634,2.5080375151931878e-11,3.4391389106267574e-11
0.0,0.3,0.2999999999999995,0.0,0.0,0.3,0.10000000000000353,5.092382743943614e-17,0.0
3.1803263726241504e-18,0.3,0.047169999101074354,0.052830000898925825,0.0,0.0,0.0,0.3,0.3
0.0,0.3,7.932165696770468e-18,0.18981076033360447,0.0,4.896827169438476e-18,6.686369469655335e-18,0.21018923966639552,0.3
0.2999999999999218,0.14786333973935972,1.2962985990995103e-13,5.945135203473477e-14,2.659868852949998e-13,0.29999999999980304,0.25213666026043957,1.0451267987272013e-14,1.0274306515804338e-14
0.0,0.3,0.0,0.1407312287891266,1.486589813375169e-17,2.692693199040507e-17,1.7214602796554216e-17,0.2592687712108734,0.3
0.29999999560254725,0.2999986695637826,8.625156297194635e-09,4.700264126449566e-10,2.4629267959132587e-08,0.3,0.10000124168458051,8.057430814682988e-11,1.2392393478012792e-10
0.2999999999994059,0.12953938414996188,2.6008917242137386e-12,2.4650323761390077e-13,2.347538829994278e-12,0.299999999999636,0.2704606158457485,2.2249518690633666e-14,3.043513049439938e-14
0.29999999999999505,0.29999999999999416,8.229476920768397e-16,5.136833129875615e-15,6.172905568118715e-15,0.29999999999998,0.10000000000001516,2.1554683566244537e-15,1.3282319251228287e-15
0.3,0.3,0.0,0.0,0.0,0.3,0.10000000000000256,0.0,0.0
2.8912057765404644e-19,0.29990751584171105,0.29999999999999993,2.5328196804795886e-17,1.0010813066450345e-16,1.9187218391199096e-16,8.637157521479834e-17,0.10009248415828872,0.29999999999999993
0.2999999999999991,0.2999999999999948,1.0776772226848147e-16,1.5324683003663355e-15,4.869469666062893e-15,0.29999999999999466,0.10000000000000384,7.838921234545744e-16,4.980309513419457e-16
0.299999999999997,0.29999999999992205,3.1921916021805015e-15,5.962408423466478e-15,1.069422328470182e-13,0.299999999999995,0.09999999999996412,3.959448826323237e-15,1.7457131739950168e-15
1.7404566067119447e-16,0.21992423762255983,0.29999999999999993,0.0,0.048729343829479195,0.0837017629711061,0.0,0.04764465557685456,0.3
0.3,3.665756602937372e-15,0.0,0.0,0.2999999999999958,0.3,0.10000000000000125,0.0,0.0
9.25185853854297e-18,0.276394018966594,0.3,0.0,0.09782923883813327,5.971898737215274e-17,7.703582037542314e-17,0.02577674219527256,0.3
0.3,2.0131244039083615e-15,1.1603064017598194e-16,0.0,0.29999999999999777,0.3,0.10000000000000027,0.0,0.0
9.526120231942496e-17,0.3,0.1187638007270434,0.0,0.2621528192598219,0.01908338001313468,0.0,0.0,0.3
0.2999999999999993,1.0396599096933041e-15,7.842048132564402e-16,1.0601255728638733e-15,0.19471045354120553,0.29999999999999793,0.20528954645879435,4.165478983470339e-17,0.0
0.2999999999999986,6.039096451684723e-16,5.437849550254636e-16,4.925373150440619e-15,0.2999999999999969,0.2999999999999951,0.10000000000000271,7.136070722700382e-16,1.807146128894399e-17
0.29999999999999943,2.101158785923079e-16,5.116656389842517e-16,0.0,0.29999999999999966,0.29999999999999916,0.10000000000000099,2.364270508411679e-16,1.929739745568029e-16
0.29999999999999855,9.211077246174443e-17,2.4114620749332996e-16,0.0,0.2999999999999991,0.2999999999999987,0.10000000000000432,0.0,1.3244371201761117e-16
0.0,0.29999999999999993,0.20988436223462686,3.0136657441079356e-17,0.19011563776537324,6.938893903907228e-17,1.0062440200564597e-16,5.084828431181492e-17,0.2999999999999999
8.573690071698291e-18,0.24025718650266073,0.29999999999999993,0.015765419946193623,0.14397739355114553,0.0,1.2623892762253663e-18,3.729655473350135e-17,0.3
9.75599574706362e-17,0.2113762810258165,0.3,0.02663461432524582,0.16198910464893776,0.0,1.558260557292222e-17,0.0,0.29999999999999993
0.3,0.0,0.0,0.0,0.3,0.3,0.09999999999999498,0.0,0.0
0.2999999999999995,0.0,2.6411692123733366e-16,6.4878658001532585e-15,0.29999999999999555,0.29999999999999916,0.10000000000000037,0.0,0.0
1.4110891242560173e-16,0.29999999999999993,0.1720134755042698,0.017574079568570572,0.3,0.12519399548523524,0.0,5.215933562161931e-18,0.08521844944192423
6.649773321561997e-17,0.29999999999999993,0.2088347447485367,7.011490223414202e-18,0.2987913365552712,0.034702290002346176,0.15767162870285112,7.670727018630162e-18,1.734723475976807e-18
0.0,0.29999999999999993,0.1786649915073243,0.011272460642672236,0.29999999999999993,0.07950299616652985,0.1305595516834738,1.40228967157735e-17,0.0
0.3,2.927444416692555e-16,0.0,0.2999999999999998,0.2999999999999994,0.1000000000000006,2.1722527719674633e-16,0.0,0.0
