Technology_XLK,Healthcare_XLV,Financials_XLF,Energy_XLE,Materials_XLB,ConsumerDiscretionary_XLY,Industrials_XLI,Utilities_XLU,ConsumerStaples_XLP
0.10453778886169733,0.11288965781886921,3.811163136843867e-15,0.17730585506583413,1.4430787089449522e-15,1.7002633878758156e-15,0.0052666982535973395,0.2999999999999965,0.29999999999999843
0.10427127448272074,0.10250045692385008,7.102741696448864e-18,0.17126336290722188,1.4642074273674971e-18,1.5686817332161679e-18,0.02196490568621635,0.3,0.3
0.3,2.5979218776228663e-14,1.942890293094024e-14,1.2295719997723609e-14,0.3,0.10000000000004569,0.3,0.0,0.0
0.3,4.579669976578771e-15,5.162537064506978e-15,4.3576253716537394e-15,0.3,0.10000000000001338,0.3,0.0,0.0
0.3,0.0,0.0,0.0,0.3,0.10000000000670675,0.3,0.0,0.0
0.3,0.09999999998226582,0.0,0.0,0.0,0.3,0.3,0.0,0.0
0.29999999988889425,0.09999999992941519,5.196931564611425e-11,5.028693606375401e-11,1.072654465250622e-10,0.29999999992468124,0.29999999993327475,5.315734947080335e-11,6.105550618760854e-11
0.2999999999479499,0.3,2.2932090722812032e-11,2.3395064184250363e-11,1.8947047134684828e-11,0.29999999996487137,0.09999999996752199,2.6241281495226054e-11,2.6670547735035215e-11
0.29999999992717175,0.1000000000215679,2.631336815106522e-11,3.507698367396782e-11,9.177616999700433e-12,0.2999999999503126,0.2999999999537316,3.950366160034129e-11,3.71443665889984e-11
0.3,0.09999999991240872,0.0,0.0,0.0,0.3,0.3,0.0,0.0
0.010761821493365928,0.2999999999999946,1.8564602526668453e-16,0.08923817850663719,2.613849589033946e-15,2.391659877175844e-15,1.3260142088184994e-15,0.29999999999999793,0.2999999999999979
0.0030984425742731935,0.2803400447619106,8.580141300028223e-16,0.11661298362087487,1.4678548065780724e-15,1.818167481051304e-15,3.9894812081524476e-15,0.29994852904293956,0.2999999999999977
0.29999999995374094,0.10000000001621592,7.319089778690113e-12,2.365262695087228e-11,1.7884347277590122e-11,0.29999999996762805,0.29999999996779625,2.371525551345663e-11,2.2047411514114812e-11
0.04593544033967014,0.25137927053547626,9.427979305360756e-16,0.11037816257630209,4.774451464406243e-16,1.7164074382425607e-16,3.1258472148953833e-16,0.2923071265485501,0.29999999999999966
0.3,0.09999999999645642,0.3,0.0,0.0,0.3,0.0,0.0,0.0
0.3,0.3,0.0,0.0,0.0,0.3,0.09999999992574951,0.0,0.0
0.29999999995151727,0.29999999996242266,1.851715357477538e-11,1.447335194195462e-10,1.7949741614944223e-11,0.29999999977553105,0.10000000007676338,2.6384119876770707e-11,2.618116781281033e-11
0.3,0.3,0.0,0.0,0.0,0.3,0.09999999936898941,0.0,0.0
0.0,0.3,0.3,0.0,1.8665624601510444e-15,0.0,1.3264033478382391e-15,0.09999999999999584,0.3
0.299999999999973,0.10000000000000131,3.3861802251067274e-15,3.3029134982598407e-15,2.7755575615628914e-17,0.2999999999999936,0.29999999999999427,1.1129985821867194e-14,1.9984014443252818e-14
0.2999999999508581,1.5856470042358037e-11,2.036030408843576e-11,2.6356602935953797e-11,0.29999999998090693,0.09999999999013869,0.29999999996633114,2.5894314535892016e-11,2.329758234921956e-11
1.965089234177586e-15,0.2563247950603985,0.29999999999999766,1.2013892188157953e-15,0.04368688436912222,0.0026557252324997706,7.718960164119292e-16,0.09733259533797949,0.29999999999999905
0.3,0.1000000000327782,0.0,0.0,0.0,0.3,0.3,0.0,0.0
7.15999601328015e-15,0.22594129539454322,0.2691442889598841,2.2889793579482305e-15,0.001095472578544442,1.0303747403052278e-15,4.452897495299656e-15,0.2038189430670236,0.29999999999999766
0.2999999999798304,0.10000000000598581,7.622942279665076e-12,1.1383797358984715e-11,2.5287411054009112e-12,0.29999999998513466,0.29999999998658317,1.0872603560378875e-11,1.0057833166444132e-11
2.935198506081123e-15,0.29999999999999977,0.18936051571158147,6.367447772806342e-15,0.2106394842884237,5.339468693775208e-15,1.5596683570110278e-15,8.938336780125357e-15,0.29999999999999877
0.29999999996086807,1.6018616361466644e-11,1.261191363299727e-11,1.7512619826520748e-11,0.10000000000233328,0.29999999997376897,0.2999999999756956,2.3420260506818734e-11,1.777070552844981e-11
0.3,0.0,0.0,0.0,0.3,0.3,0.10000000000033002,0.0,0.0
0.3,0.0,0.0,1.0735856648125264e-13,0.3,0.3,0.099999999999801,0.0,0.0
0.29999999999998767,5.273559366969494e-16,5.2735593669694936e-15,0.09999999999999862,0.2999999999999987,0.29999999999999305,0.0,4.135580766728708e-15,1.2101430968414206e-14
6.820695616091661e-16,0.2999999999999999,0.22533278910605367,2.0226442591255355e-18,0.1746672108939461,3.054690966993772e-18,5.3750264021767666e-17,1.0858391203510287e-18,0.3
4.868214350440486e-15,0.1946856678136714,0.2999999999999993,0.13082849087489767,0.024767493440192533,1.0241538933225521e-15,2.7532909865035587e-16,0.049718347871237044,0.2999999999999973
4.5341102772495e-16,0.2983155166932636,0.29999999999999954,0.03426429094110947,0.032387022283221274,3.656188460433194e-17,1.7535312823878972e-16,0.03503317008240515,0.29999999999999866
0.2999999999883374,5.169221055583272e-12,4.2842057144656505e-12,2.19614604279883e-12,0.10000000000397438,0.2999999999911633,0.2999999999917883,7.291128659512789e-12,5.795929498765989e-12
0.299999999999995,1.915134717478395e-15,0.0,0.2999999999999985,0.10000000000000461,0.29999999999999727,4.718447854656915e-16,1.7486012637846216e-15,6.106226635438361e-16
