DATE,NA000334Q
2011-01-01,3764835.0
2011-04-01,3893028.0
2011-07-01,3927583.0
2011-10-01,4014288.0
2012-01-01,3960259.0
2012-04-01,4047165.0
2012-07-01,4086346.0
2012-10-01,4160201.0
2013-01-01,4074333.0
2013-04-01,4184244.0
2013-07-01,4259404.0
2013-10-01,4362704.0
2014-01-01,4220258.0
2014-04-01,4376828.0
2014-07-01,4465484.0
2014-10-01,4545567.0
2015-01-01,4411435.0
2015-04-01,4580499.0
2015-07-01,4625898.0
2015-10-01,4677188.0
2016-01-01,4521822.0
2016-04-01,4690281.0
2016-07-01,4746661.0
2016-10-01,4840483.0
2017-01-01,4674704.0
2017-04-01,4889678.0
2017-07-01,4958224.0
2017-10-01,5089495.0
2018-01-01,4962408.0
2018-04-01,5161541.0
2018-07-01,5221627.0
2018-10-01,5310940.0
2019-01-01,5140051.0
2019-04-01,5376189.0
2019-07-01,5441019.0
2019-10-01,5564137.0
2020-01-01,5292718.0
2020-04-01,5009931.0
2020-07-01,5411028.0
2020-10-01,5609276.0
2021-01-01,5503213.0
2021-04-01,5853320.0
2021-07-01,5975139.0
2021-10-01,6271538.0
2022-01-01,6098908.0
2022-04-01,6414266.0
2022-07-01,6539219.0
2022-10-01,6701519.0
2023-01-01,6546655.0
2023-04-01,6802375.0
2023-07-01,6927581.0
2023-10-01,7081776.0
2024-01-01,6925169.0
