Large_Cap_Growth_FOCPX,Large_Cap_Value_FGRIX,Mid_Cap_Growth_FDGRX,Mid_Cap_Value_FLPSX,Small_Cap_Growth_OPOCX,Small_Cap_Value_HRTVX,Date
16.739999771118164,51.52000045776367,30.719999313354492,52.2400016784668,83.2699966430664,44.45000076293945,2022-02-18
16.510000228881836,51.209999084472656,30.299999237060547,51.56999969482422,82.22000122070312,43.720001220703125,2022-02-22
16.100000381469727,50.47999954223633,29.5,51.0,80.37999725341797,43.56999969482422,2022-02-23
16.6299991607666,50.540000915527344,30.639999389648438,50.93000030517578,84.20999908447266,43.790000915527344,2022-02-24
16.8700008392334,51.88999938964844,31.15999984741211,52.099998474121094,86.12000274658203,44.91999816894531,2022-02-25
16.920000076293945,51.65999984741211,31.309999465942383,52.02000045776367,86.73999786376953,44.95000076293945,2022-02-28
16.6200008392334,50.61000061035156,30.770000457763672,51.13999938964844,84.81999969482422,44.22999954223633,2022-03-01
16.850000381469727,51.619998931884766,31.219999313354492,52.220001220703125,86.94999694824219,45.439998626708984,2022-03-02
16.540000915527344,51.27000045776367,30.6200008392334,51.97999954223633,84.75,45.290000915527344,2022-03-03
16.18000030517578,50.56999969482422,29.979999542236328,51.470001220703125,82.58000183105469,44.869998931884766,2022-03-04
15.520000457763672,49.130001068115234,28.780000686645508,50.310001373291016,79.04000091552734,44.20000076293945,2022-03-07
15.529999732971191,49.11000061035156,28.770000457763672,50.130001068115234,79.93000030517578,44.68000030517578,2022-03-08
16.190000534057617,50.25,29.920000076293945,51.220001220703125,83.16999816894531,45.38999938964844,2022-03-09
16.010000228881836,50.060001373291016,29.690000534057617,51.150001525878906,82.43000030517578,45.47999954223633,2022-03-10
15.609999656677246,49.65999984741211,29.030000686645508,50.68000030517578,80.75,45.0,2022-03-11
15.270000457763672,49.54999923706055,28.3700008392334,50.61000061035156,78.56999969482422,44.33000183105469,2022-03-14
15.710000038146973,50.04999923706055,29.239999771118164,50.97999954223633,80.36000061035156,44.720001220703125,2022-03-15
16.420000076293945,51.13999938964844,30.510000228881836,52.040000915527344,84.05999755859375,45.380001068115234,2022-03-16
16.6299991607666,51.709999084472656,31.030000686645508,52.59000015258789,85.94999694824219,45.68000030517578,2022-03-17
17.030000686645508,51.939998626708984,31.790000915527344,52.869998931884766,87.55999755859375,45.86000061035156,2022-03-18
